SMILES,Name,pIC50
Br.Br.COc1cc(F)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,CHEMBL1202214,8
Br.COc1c(Cl)cc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1Cl,CHEMBL1202204,6.642065153
Br.COc1cc(Cl)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,CHEMBL1202211,7.769551079
Br.COc1ccc(Cl)cc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,CHEMBL1202205,8.301029996
Br.COc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1,CHEMBL1202224,6.123782159
Br.COc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccc(Cl)cc3Cl)CC2)cc1,CHEMBL1202206,8.15490196
Br.COc1cccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1,CHEMBL1202217,6.76700389
Br.COc1ccccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,CHEMBL1202216,8.301029996
Br.Cc1cc(Cl)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,CHEMBL1202210,6.89279003
Br.Cc1cc(F)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,CHEMBL1202209,7.167491087
Br.Cc1ccc(N2CCN(CC3CC3c3ccccc3)CC2)c(C)c1,CHEMBL2092961,7.22184875
Br.Cc1ccc(N2CCN(C[C@@H]3C[C@H]3c3ccccc3)CC2)c(C)c1,CHEMBL1202208,7.13667714
Br.Cc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c(C)c1,CHEMBL1204119,7.346787486
Br.Clc1cc(Cl)cc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1,CHEMBL1202225,7.494850022
Br.Clc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c(Cl)c1,CHEMBL1204116,7.102372909
Br.Clc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1,CHEMBL1202220,6.609064893
Br.Clc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1Cl,CHEMBL1202212,6.681936665
Br.Clc1cccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1,CHEMBL1202221,6.835647144
Br.Clc1cccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1Cl,CHEMBL1202213,8.698970004
Br.Clc1ccccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,CHEMBL1202215,8.301029996
Br.Fc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccc(Cl)cc3)CC2)cc1,CHEMBL1202222,6.694648631
Br.Fc1ccc([C@H]2C[C@@H]2CN2CCN(c3cccc(Cl)c3)CC2)cc1,CHEMBL1202223,7.251811973
Br.Fc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccccc3Cl)CC2)cc1,CHEMBL1202219,7.886056648
Br.Oc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccc(Cl)cc3Cl)CC2)cc1,CHEMBL1202202,7.920818754
Br.c1ccc([C@H]2C[C@@H]2CN2CCN(c3cccnc3)CC2)cc1,CHEMBL1202203,5
Br.c1ccc([C@H]2C[C@@H]2CN2CCN(c3ccncc3)CC2)cc1,CHEMBL1202207,5
C(#Cc1ccccc1)CN(c1ccccc1)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,CHEMBL113282,6.050609993
C(#Cc1ccccc1)CNC1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,CHEMBL115934,5
C(=C/c1ccccc1)\CN(C/C=C/c1ccccc1)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,CHEMBL320801,5
C(=C/c1ccccc1)\CN(c1ccccc1)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,CHEMBL115506,5
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,CHEMBL43064,6.110138279
C(=C/c1ccccc1)\CNC1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,CHEMBL111909,5
C/C(=N\OC(=O)Nc1ccccc1)c1cccc(-c2cccs2)c1,CHEMBL1210154,5
C=C1CCC[C@]2(C)Cc3occ(C)c3C[C@@H]12,CHEMBL486189,5.602059991
C=CCN1CCC[C@H]1CNC(=O)c1cc(CCCCl)cc(OC)c1OC,CHEMBL502017,7.76700389
C=CCN1CCC[C@H]1CNC(=O)c1cc(CCCF)cc(OC)c1OC,CHEMBL392158,8.301029996
C=CCO/N=C(\CCN1CCN(c2ccccn2)CC1)c1ccccc1,CHEMBL213700,5
CB1C=Cc2c(cccc2OCC(O)CN(C)C)N1,CHEMBL3736156,5.300000202
CB1C=Cc2cccc(OCC(O)CN(C)C)c2N1,CHEMBL3736433,5.300000202
CC(=O)N1CC(CCN2CCN(c3cccc4sccc34)CC2)c2ccccc21,CHEMBL5960228,6.91721463
CC(=O)N1CCN([C@H]2CCC[C@@H](NC(=O)c3cc4c(F)ccc(C)c4[nH]3)C2)CC1,CHEMBL5095235,4.886056648
CC(=O)N[C@@H]1CC2(CCN(Cc3ccc4[nH]c5ccc(Cl)cc5c4c3)CC2)c2ccccc21,CHEMBL1934127,6.301029996
